,population,gdp,co2,co2_growth_prct,co2_per_capita,co2_per_gdp,co2_per_unit_energy,gdp_per_capita
77,41100124.0,785785159680.0,185.854,4.348,4.522,0.237,0.21,19118.80265081439
78,41520736.0,837742690304.0,189.676,2.056,4.568,0.226,0.209,20176.489412519084
79,41952364.0,829147447296.0,191.292,0.852,4.56,0.231,0.203,19764.022053584395
80,42388268.0,849088348160.0,189.538,-0.917,4.471,0.223,0.193,20031.211187019955
81,42824064.0,827750809600.0,188.397,-0.602,4.399,0.228,0.192,19329.104533376376
82,43257064.0,850356666368.0,191.744,1.777,4.433,0.225,0.192,19658.215045940244
83,43668236.0,832669286400.0,189.92,-0.951,4.349,0.228,0.191,19068.076997660268
84,44054616.0,856142118912.0,186.899,-1.591,4.242,0.218,0.189,19433.652966399706
85,44413592.0,833736998912.0,180.599,-3.371,4.066,0.217,0.183,18772.113701409246
86,44745516.0,817053892608.0,178.512,-1.156,3.989,0.218,0.192,18260.01721844039
87,45036032.0,735814221824.0,166.88,-6.516,3.705,0.227,0.192,16338.344857379976
88,2946296.0,24485670912.0,4.253,-2.534,1.443,0.174,0.108,8310.662238960376
89,2928984.0,24860520448.0,4.969,16.839,1.696,0.2,0.12,8487.76246234189
90,2914428.0,26634065920.0,5.748,15.685,1.972,0.216,0.131,9138.694083367302
91,2901386.0,27542824960.0,5.535,-3.71,1.908,0.201,0.129,9492.988854292396
92,2889937.0,28536291328.0,5.604,1.249,1.939,0.196,0.128,9874.364502755596
93,2878598.0,29464864768.0,5.469,-2.405,1.9,0.186,0.135,10235.838685360026
94,2865841.0,29522321408.0,5.203,-4.869,1.816,0.176,0.127,10301.45126962731
95,2851929.0,31741804544.0,5.54,6.48,1.943,0.175,0.127,11129.94206517764
96,2836563.0,33400320000.0,5.826,5.156,2.054,0.174,0.136,11774.92620470619
97,2820604.0,35949092864.0,6.284,7.867,2.228,0.175,0.138,12745.175453200804
98,2805610.0,33378377728.0,6.799,8.194,2.423,0.204,0.142,11897.012673892665
99,100354.0,,2.506,-4.603,24.973,,0.468,
100,101304.0,,2.499,-0.292,24.667,,0.586,
101,102126.0,,1.348,-46.041,13.203,,0.252,
102,102891.0,,0.861,-36.141,8.368,,0.166,
103,103607.0,,0.872,1.277,8.417,,0.166,
104,104269.0,,0.898,2.941,8.609,,0.166,
105,104890.0,,0.883,-1.633,8.419,,0.168,
106,105454.0,,0.89,0.83,8.443,,0.164,
107,105980.0,,0.872,-2.058,8.228,,0.166,
108,106458.0,,0.89,2.101,8.363,,0.164,
109,106597.0,,0.89,0.0,8.353,,0.192,
110,22019166.0,993854029824.0,405.512,-0.482,18.416,0.408,0.269,45135.86163181657
111,22357032.0,1024000327680.0,404.257,-0.31,18.082,0.395,0.259,45802.158697988176
112,22729272.0,1062662897664.0,406.58,0.575,17.888,0.383,0.265,46753.054724498
113,23111788.0,1086068031488.0,399.288,-1.793,17.276,0.368,0.257,46991.95196356076
114,23469578.0,1113888129024.0,393.049,-1.562,16.747,0.353,0.251,47460.93555768237
115,23820240.0,1139303383040.0,401.378,2.119,16.85,0.352,0.251,47829.21511454125
116,24195706.0,1169967284224.0,410.254,2.211,16.956,0.351,0.255,48354.335443818
117,24590336.0,1197832929280.0,413.655,0.829,16.822,0.345,0.258,48711.531606562836
118,24979228.0,1231576891392.0,415.351,0.41,16.628,0.337,0.256,49304.04139759643
119,25357168.0,1255505526784.0,415.811,0.111,16.398,0.331,0.248,49512.84491959039
120,25670052.0,1232259776512.0,396.685,-4.6,15.453,0.322,0.25,48003.78964997811
121,8362829.0,338832261120.0,72.017,6.985,8.612,0.213,0.171,40516.46411997663
122,8391201.0,349713465344.0,69.909,-2.927,8.331,0.2,0.177,41676.21122935799
123,8429641.0,352093110272.0,67.283,-3.757,7.982,0.191,0.162,41768.45849924095
124,8479542.0,352182894592.0,67.776,0.733,7.993,0.192,0.165,41533.2449078028
125,8546066.0,354511814656.0,64.176,-5.312,7.509,0.181,0.163,41482.45691713591
126,8642422.0,358108266496.0,66.366,3.412,7.679,0.185,0.167,41436.100493125654
127,8736491.0,365232717824.0,67.227,1.297,7.695,0.184,0.164,41805.4248352113
128,8797497.0,373481668608.0,69.609,3.543,7.912,0.186,0.167,42453.17373884867
129,8840518.0,382540021760.0,66.572,-4.363,7.53,0.174,0.163,43271.22254148456
130,8879939.0,388344676352.0,67.956,2.079,7.653,0.175,0.159,43732.80901501688
131,8907780.0,363281088512.0,62.121,-8.586,6.974,0.171,0.155,40782.44955667967
